Country,Capital,Area_km2,Latitude,Longitude
Panama,Panama City,75417.0,9.334,-79.8917
Papua New Guinea,Port Moresby,462840.0,-9.4772,147.1509
Paraguay,Asunción,406752.0,-25.2865,-57.647
Peru,Lima,1285216.0,-12.0432,-77.0282
Philippines,Manila,342353.0,14.6042,120.9822
Pitcairn Islands,Adamstown,47.0,-25.06666666,-130.1
Poland,Warsaw,312679.0,52.2298, 21.0118
Portugal,Lisbon,92090.0,38.7167,-9.1333
Puerto Rico,San Juan,8870.0,18.4663,-66.1057
Qatar,Doha,11586.0,25.2855,51.531
Republic of the Congo,Brazzaville,342000.0,-4.2661,15.2832
Romania,Bucharest,238391.0,44.4323,26.1063
Russia,Moscow,17098242.0,55.7522,37.6156
Russia,Vladivostock,17098242.0,43.1056,131.8735
Russia,Jakutsk,17098242.0,62.0167,129.7167
Rwanda,Kigali,26338.0,-1.95,30.0588
Réunion,Saint-Denis,2511.0,-20.8823,55.4504
Saint Barthélemy,Gustavia,21.0,17.8962,-62.8498
"Saint Helena, Ascension and Tristan da Cunha",Jamestown,394.0,-15.95,-5.72
Saint Kitts and Nevis,Basseterre,261.0,17.2955,-62.725
Saint Lucia,Castries,616.0,13.9957,-61.0061
Saint Martin,Marigot,53.0,18.0682,-63.083
Saint Pierre and Miquelon,Saint-Pierre,242.0,-21.3393, 55.4781
Saint Vincent and the Grenadines,Kingstown,389.0,13.1553,-61.2274
Samoa,Apia,2842.0,-13.8333,-171.7667
San Marino,City of San Marino,61.0,43.9367,12.4464
Saudi Arabia,Riyadh,2149690.0,24.6877,46.7219
Senegal,Dakar,196722.0,14.6937,-17.4441
Serbia,Belgrade,88361.0,44.804,20.4651
Seychelles,Victoria,452.0,-4.6667,55.5167
Sierra Leone,Freetown,71740.0,8.4871,-13.2356
Singapore,Singapore,710.0,1.2897,103.8501
Sint Maarten,Philipsburg,34.0,18.026,-63.0458
Slovakia,Bratislava,49037.0,48.1482,17.1067
