name,slug,%,date_of_information,ranking,region
"Sao Tome and Principe","sao-tome-and-principe","14.21","2023",185,"Africa"
"Afghanistan","afghanistan","14.39","2023",186,"South Asia"
"Angola","angola","14.62","2023",187,"Africa"
"Haiti","haiti","14.62","2023",188,"Central America and the Caribbean"
"Rwanda","rwanda","14.93","2023",189,"Africa"
"Tunisia","tunisia","15.11","2023",190,"Africa"
"Montenegro","montenegro","15.25","2023",191,"Europe"
"Iraq","iraq","15.53","2023",192,"Middle East"
"Lesotho","lesotho","16.46","2023",193,"Africa"
"Yemen","yemen","17.22","2023",194,"Middle East"
"Jordan","jordan","17.94","2023",195,"Middle East"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","18.67","2023",196,"Central America and the Caribbean"
"Libya","libya","18.74","2023",197,"Africa"
"Somalia","somalia","19.03","2023",198,"Africa"
"Namibia","namibia","19.42","2023",199,"Africa"
"Congo, Republic of the","congo-republic-of-the","20.05","2023",200,"Africa"
"Gabon","gabon","20.36","2023",201,"Africa"
"Botswana","botswana","23.38","2023",202,"Africa"
"Grenada","grenada","24","2017",203,"Central America and the Caribbean"
"West Bank","west-bank","24.42","2022",204,"Middle East"
"Gaza Strip","gaza-strip","24.42","2022",205,"Middle East"
"Djibouti","djibouti","26.26","2023",206,"Africa"
"South Africa","south-africa","27.99","2023",207,"Africa"
"Kosovo","kosovo","30.5","2017",208,"Europe"
"Eswatini","eswatini","37.64","2023",209,"Africa"
