Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect
Congo (Brazzaville),2023,4.953729629516602,8.086013793945312,0.5607277154922485,57.5,0.702421247959137,-0.0507322140038013,0.7450444102287292,0.5850922465324402,0.4091673195362091
Congo (Kinshasa),2023,3.3833975791931152,7.075861930847168,0.5722747445106506,55.79999923706055,0.6873031854629517,0.152351975440979,0.8372732996940613,0.5457320213317871,0.4973513185977936
Costa Rica,2023,7.384068965911865,10.020896911621094,0.8745720386505127,70.0,0.9333814978599548,-0.0666854977607727,0.7669379115104675,0.8063220977783203,0.2817946076393127
Croatia,2023,5.958378791809082,10.461684226989746,0.9085949659347534,69.30000305175781,0.5732210874557495,-0.2053699046373367,0.8104672431945801,0.6098355054855347,0.2303737998008728
Cuba,2006,5.417868614196777,,0.9695951342582704,68.0,0.2814579308032989,,,0.596187174320221,0.2766015231609344
Cyprus,2023,6.070594310760498,,0.80283123254776,73.19999694824219,0.729809582233429,,0.8398323655128479,0.6815126538276672,0.2968635261058807
Czechia,2023,6.8270063400268555,10.638617515563965,0.9266955852508544,69.30000305175781,0.9060654044151306,0.0252480115741491,0.8316906690597534,0.7501183152198792,0.2543324828147888
Denmark,2023,7.50419282913208,10.996293067932127,0.915669560432434,71.5,0.9227390885353088,0.0894335359334945,0.1835667788982391,0.7570056915283203,0.2294894456863403
Djibouti,2011,4.3691935539245605,8.150376319885254,0.6329732537269592,55.08000183105469,0.7464394569396973,-0.0818455070257186,0.5189301371574402,0.5427360534667969,0.1805926263332367
Dominican Republic,2023,5.921262264251709,9.90037727355957,0.8602536916732788,64.80000305175781,0.8667314052581787,-0.1067438572645187,0.6674948334693909,0.7302570343017578,0.2555694282054901
Ecuador,2023,5.8517537117004395,9.307243347167969,0.7823009490966797,69.5,0.7307334542274475,-0.106206864118576,0.839505136013031,0.7630280256271362,0.3589973449707031
Egypt,2023,3.8806402683258057,9.479594230651855,0.7296708822250366,64.0,0.6253407597541809,-0.2102522403001785,,0.4358569085597992,0.3523299396038055
El Salvador,2023,6.481846809387207,9.167494773864746,0.743965208530426,66.30000305175781,0.9420214891433716,-0.1037502437829971,0.4955852925777435,0.8119229078292847,0.3180385529994964
Estonia,2023,6.429872989654541,10.516721725463867,0.958171248435974,70.0999984741211,0.9145733118057252,0.0315010398626327,0.3337305784225464,0.7648999094963074,0.1822958439588546
Eswatini,2022,3.502002954483032,9.11949062347412,0.7122676968574524,52.5,0.5386580228805542,-0.1490681767463684,0.7737690806388855,0.6608967781066895,0.3935132026672363
Ethiopia,2023,4.092648506164551,7.809025287628174,0.6703498363494873,61.5,0.6311467885971069,0.2118439972400665,0.800479531288147,0.538413941860199,0.2989624738693237
Finland,2023,7.698929309844971,10.80845069885254,0.946864664554596,71.30000305175781,0.9434178471565248,-0.0011296799639239,0.1852294355630874,0.7167778015136719,0.1728303283452987
France,2023,6.556921482086182,10.741768836975098,0.8495709300041199,72.5,0.7755240797996521,0.0095427241176366,0.5577877759933472,0.675797164440155,0.2280012965202331
Gabon,2023,5.104125022888184,9.553695678710938,0.7345706224441528,58.900001525878906,0.7223499417304993,-0.1596172749996185,0.821529746055603,0.6196807622909546,0.4236416816711426
Gambia,2023,4.690763473510742,7.686476707458496,0.651343822479248,58.20000076293945,0.7265484929084778,0.4301712214946747,0.8522723913192749,0.7192456722259521,0.290904551744461
