Country,Year_Life_expectancy,Life expectancy,Year_Life_Ladder,Life Ladder,Crime Rate,Year_Unemployment_Rate,Unemployment_Rate,Water_Quality,gdpPerCapita,Cost of Living Index,continent
Hong Kong,,,,,21.7,2023.0,3.93,,54859.06100006608,,Asia
Hong Kong (China),,,,,,,,,,70.8,
Hong Kong S.A.R. of China,,,2022.0,5.311294078826904,,,,,,,
Hungary,2015.0,75.8,2023.0,5.9651780128479,33.8,2023.0,4.13,72.1,23089.06237404585,41.7,Europe
Iceland,2015.0,82.7,2023.0,7.561609268188477,25.0,2023.0,3.56,96.2,84744.12551220653,83.0,Europe
India,2015.0,68.3,2023.0,4.676008701324463,44.4,2023.0,4.17,25.8,2713.420265483066,21.2,Asia
Indonesia,2015.0,69.1,2023.0,5.694869518280029,45.9,2023.0,3.42,31.3,5205.476069533807,26.7,Asia
Iran,,,2023.0,5.0042805671691895,49.8,2023.0,9.1,68.3,5069.265690849503,26.4,Asia
Iran (Islamic Republic of),2015.0,75.5,,,,,,,,,
Iraq,2015.0,68.9,2023.0,5.475371837615967,46.0,2023.0,15.53,57.3,5775.031492984666,29.3,Asia
Ireland,2015.0,81.4,2023.0,6.816531181335449,46.1,2023.0,4.34,92.7,107329.75326449756,64.4,Europe
Isle of Man,,,,,,2017.0,1.1,,,,
Israel,2015.0,82.5,2023.0,6.783402442932129,32.2,2023.0,3.39,81.7,56531.67885015692,62.7,Asia
Italy,2015.0,82.7,2023.0,6.24511194229126,47.3,2023.0,7.62,100.0,39230.13536581461,56.2,Europe
Ivory Coast,,,2023.0,5.336585521697998,57.5,,,25.2,2721.564967965379,,Africa
Jamaica,2015.0,76.2,2022.0,5.870189189910889,67.5,2023.0,4.42,54.1,7078.804443536514,53.9,North America
Japan,2015.0,83.7,2023.0,5.910115718841553,22.9,2023.0,2.58,77.5,33214.952364791156,46.1,Asia
Jersey,,,,,,2023.0,5.98,,,,
Jordan,2015.0,74.1,2023.0,4.2920331954956055,40.7,2023.0,17.94,63.5,4636.930987024903,41.2,Asia
Kazakhstan,2015.0,72.0,2023.0,6.299432754516602,46.4,2023.0,4.85,76.3,14410.03078775871,31.7,Asia
Kenya,2015.0,63.4,2023.0,4.49622917175293,56.8,2023.0,5.68,22.0,1842.914328343927,30.2,Africa
Kiribati,2015.0,66.3,,,,,,22.0,2311.9582509403945,,Oceania
"Korea, North",,,,,,2023.0,3.0,,,,
"Korea, South",,,,,,2023.0,2.64,,,,
Kosovo,,,2023.0,6.877792835235596,,2017.0,30.5,,5577.816819900403,,
Kosovo (Disputed Territory),,,,,,,,,,29.5,
